time,ax,ay,az,atotal
0.622942924,-2.58,-3.66,-4.46,6.32
1.623101711,9.35,-4.46,2.02,10.55
2.622653008,13.35,3.74,-0.8,13.88
3.62187767,9.79,12.38,-4.53,16.42
4.621539831,3.02,8.56,-6.26,11.02
5.621630669,14.31,8.97,-5.45,17.74
6.620914936,19.02,1.02,0.87,19.06
7.62029171,2.46,-12.68,-0.29,12.91
8.620333672,1.38,-7.34,3.68,8.32
9.619855881,14.87,-3.68,-0.08,15.31
10.61930585,0.41,1.06,6.51,6.6
11.6187439,6.84,-2.15,2.5,7.59
12.61872196,-2.16,-12.88,3.11,13.42
13.61814785,2.3,-11.04,6.42,12.97
14.61786079,4.44,-8.87,4.53,10.9
15.61808181,13.39,-5,1.87,14.41
16.61687088,11.06,-1.32,1.56,11.24
17.61631179,12.57,6.59,-4.68,14.94
18.61637592,5.88,6.81,-5.81,10.71
19.61575699,1.91,6.1,-4.28,7.69
20.61617899,17.97,8.16,-0.58,19.74
21.61504078,11.64,-11.1,1.62,16.16
22.61488199,-1.95,-13.2,4.54,14.09
23.61409378,-6.37,-12.44,5.71,15.09
24.61367893,2.4,-7.9,10.35,13.23
25.61331892,-1.69,-7.09,2.69,7.76
26.61288285,-1.62,-6.44,4.36,7.94
27.61244392,4.14,-1.55,-0.62,4.46
28.61186266,6.01,0.08,4.53,7.52
29.61189985,-3.03,-9.77,4.02,10.99
30.61109281,-9.32,-10.69,6.99,15.81
