time,ax,ay,az,atotal
0.283601046,0.97,0.41,-0.23,1.07
1.283550024,-12.31,11.84,7.87,18.8
2.282871008,-1.74,3.56,5.34,6.64
3.282406092,-1.87,1.12,-1.28,2.52
4.281913996,-0.19,1.72,-1.54,2.31
5.281705141,-0.95,0.4,0.68,1.23
6.281536102,3.07,-0.61,-0.65,3.19
7.282048941,1.75,-3.79,4.47,6.11
8.280484915,-1.69,-3.6,-3.84,5.52
9.280057192,0.88,0.96,-2.62,2.92
10.27976394,2.25,2.7,1.16,3.7
11.27974105,-0.93,3.51,3.83,5.27
12.27901196,1.66,0.4,-0.45,1.76
13.27847505,-1.15,1.58,-0.55,2.03
14.27803707,2.4,0.03,2.05,3.15
15.27765107,-3.11,-2.7,3.07,5.13
16.27764916,0.74,0.15,-2.37,2.48
17.27654505,-3.02,2.54,-1.54,4.23
18.27634001,0.07,1.23,-1.8,2.18
19.27589107,-0.84,0.89,1.2,1.71
20.27522111,-0.46,0.7,-1.05,1.34
21.27488112,5.41,-0.17,-0.04,5.41
22.27450204,4.9,-3.61,3.51,7.02
23.27400208,-3.86,0.45,-2.39,4.56
24.27356791,-0.91,-0.2,-1.37,1.65
25.27371001,2.17,2.35,1.1,3.38
26.27279019,0.72,0.15,3.24,3.32
27.27233195,-3.15,-3.92,1.97,5.4
28.27258611,0.85,-4.3,-2.45,5.02
29.2716341,3.26,0.17,0.86,3.37
30.27127194,4.44,2.98,2.45,5.88
