time,ax,ay,az,atotal
0.4397192,0.75,1.47,0.7,1.79
1.443332195,6.28,-2.76,1.47,7.01
2.441049099,7.08,0.17,7.96,10.65
3.439758301,-0.84,-11.92,4.29,12.69
4.440215111,-5.76,-16.14,7.68,18.77
5.43864727,-7.71,-12.64,5.88,15.93
6.436999321,-6.89,-11.38,7.1,15.07
7.438064098,-8.11,-9.48,8.68,15.19
8.439399242,-9.57,-11.69,-1.3,15.16
9.438517094,-6.66,-9.2,-0.08,11.35
10.43833399,-4.91,-13.01,2.41,14.11
11.43831015,-0.81,-14.55,3.8,15.05
12.4379673,1.9,-17.42,5.37,18.32
13.43684316,0.44,-14.22,3.15,14.57
14.4368732,-6.35,-15.2,5.14,17.25
15.43710113,-21.46,-20.25,19.27,35.24
16.43621826,11.32,2.79,-4.74,12.58
17.43770814,16.95,4.58,2.85,17.78
18.4355793,13.02,3.08,5.13,14.32
19.43624711,9.38,1.63,0.52,9.53
20.43606234,10.37,1.71,-9.03,13.85
21.43533325,11.43,-0.32,-10.84,15.75
22.43569803,12.61,-2.09,-10.4,16.47
23.43548822,15.78,-3.27,-4.03,16.61
24.43426514,19.08,0.25,-3.99,19.49
25.43267322,21.18,0.73,2.21,21.3
26.43249917,-0.71,0.96,-2.33,2.61
27.55706096,-0.66,-1.81,-1.75,2.6
28.55662107,-3.39,-2.39,-4.07,5.81
29.55634212,-4.63,-4.01,-1.84,6.39
30.55648804,-0.51,-0.82,-2.06,2.27
