time,ax,ay,az,atotal
0.567911148,1.12,-5.98,-2.29,6.5
1.566440105,5.76,-0.67,-1.35,5.95
2.565953016,1.17,-3.74,-5.91,7.09
3.566231966,-6.3,7.98,-0.53,10.18
4.566091061,-3.19,1.99,-0.5,3.79
5.56519413,-2.41,0.39,-2.59,3.55
6.565629959,-0.86,-2.5,-5.56,6.15
7.564865112,-0.41,-3.72,-1.65,4.09
8.56436491,-3.52,-2.78,-0.59,4.52
9.564198971,-5,-2.66,-4.34,7.13
10.56387711,-3.72,0.4,-2.17,4.32
11.56378889,-1.62,-0.33,-0.34,1.68
12.56268096,0.37,-7.47,0.14,7.48
13.56208706,10.19,-7.48,3.78,13.19
14.56227303,5.25,-3.6,8.57,10.67
15.56149602,1.49,-1.78,4.8,5.33
16.56112385,-0.29,1.45,0.59,1.59
17.56129599,-4.39,4.9,1.14,6.67
18.56065297,-4.04,5.3,-1.63,6.86
19.56033301,-0.97,6.32,-2.09,6.72
20.56003499,-0.63,5.97,2,6.32
21.55992198,0.8,2.45,3.25,4.14
22.55905914,-0.21,0.34,-0.2,0.44
23.55862284,-3.91,-7.18,-4.44,9.3
24.55824089,3.92,-11.25,-1.62,12.02
25.55787611,0.82,-2.91,0.51,3.06
26.55778599,1.09,-2.1,5.93,6.38
27.55706096,-4.64,9.58,-1.52,10.75
28.55662107,-1.62,3.29,0.18,3.67
29.55634212,0.53,-4.52,-1.13,4.68
30.55648804,1.77,-0.3,1.42,2.28
